#DASH Flow Data
#--------------------------------------------------------
#BMI DASH SN:   0
#BMI SEMS SN:   0
#--------------------------------------------------------
#DOY.Frac	YYYY	Secs	DO_Sh	DO_Smp	DO_Press	DO_Ht_T	DO_Ht_Pwr	DO_Fl_T	DO_X_T	HO_Sh_D_Fl	HO_Sh	HO_Smp	HO_Press	HO_RH	HO_T	HO_Ht_T	HO_Ht_Pwr	HO_Fl_T	HO_X_T	HO_DP_Cl	HO_DP_Lk	HM_Sh_D_Fl	HM_Sh	HM_Xs	HM_Smp_Xs	HM_Press	HM_RH	HM_T	HM_Ht_T	HM_Ht_Pwr	HM_Fl_T	HM_X_T	HM_DP_Cl	HM_DP_Lk	H2O_T	H2O_Pwr	H2O_Lvl	H2O_Cnt
 95.3991574	2024	0.9	0.60	0.071	653	40.3	0	22.4	-9.2	0.32	0.62	0.064	5556	66.9	21.8	40.5	0	21.8	-9.3	1	1	3.80	8.07	7.94	0.49	5508	70.2	21.8	40.6	0	22.6	-9.3	1	0	24.5	0	0	729726
 95.3991690	2024	1.9	0.60	0.068	653	40.3	0	22.4	-9.2	0.32	0.62	0.061	5556	66.9	21.8	40.5	0	21.8	-9.3	1	1	3.80	8.08	7.93	0.49	5506	70.3	21.8	40.6	0	22.6	-9.3	1	0	24.5	0	0	729926
 95.3991806	2024	2.9	0.60	0.065	653	40.2	0	22.4	-9.2	0.32	0.62	0.059	5556	66.9	21.8	40.6	0	21.8	-9.3	1	1	3.79	8.06	7.93	0.49	5506	70.2	21.7	40.6	0	22.6	-9.3	1	0	24.5	0	0	730126
 95.3991921	2024	3.9	0.60	0.064	653	40.2	0	22.4	-9.2	0.32	0.63	0.058	5556	66.9	21.8	40.6	0	21.8	-9.3	1	1	3.80	8.06	7.93	0.49	5506	70.2	21.7	40.6	0	22.6	-9.3	1	0	24.5	0	0	730327
 95.3992037	2024	4.9	0.60	0.064	653	40.2	0	22.4	-9.2	0.32	0.63	0.057	5556	66.9	21.8	40.6	0	21.8	-9.3	1	1	3.80	8.07	7.93	0.49	5506	70.1	21.7	40.6	0	22.6	-9.3	1	0	24.5	0	0	730527
 95.3992153	2024	5.9	0.60	0.065	653	40.2	0	22.4	-9.2	0.32	0.63	0.059	5556	66.8	21.8	40.6	0	21.8	-9.3	1	1	3.81	8.04	7.93	0.49	5506	69.9	21.7	40.6	0	22.6	-9.3	1	0	24.6	0	0	730726
 95.3992269	2024	6.9	0.60	0.065	653	40.2	0	22.4	-9.2	0.32	0.62	0.063	5556	66.8	21.8	40.6	0	21.8	-9.3	1	1	3.84	8.08	7.93	0.50	5508	69.5	21.7	40.6	0	22.6	-9.3	1	0	24.6	0	0	730926
 95.3992384	2024	7.9	0.60	0.066	653	40.2	0	22.4	-9.2	0.32	0.62	0.065	5556	66.6	21.8	40.6	0	21.8	-9.3	1	1	3.84	8.07	7.94	0.49	5508	69.3	21.7	40.6	0	22.6	-9.3	1	0	24.6	0	0	731126
 95.3992500	2024	8.9	0.60	0.066	653	40.1	160	22.4	-9.2	0.32	0.62	0.065	5556	66.5	21.8	40.6	0	21.8	-9.3	1	1	3.85	8.09	7.93	0.49	5508	69.1	21.7	40.6	0	22.6	-9.3	1	0	24.6	0	0	731326
 95.3992616	2024	9.9	0.60	0.067	653	40.1	160	22.4	-9.2	0.31	0.61	0.064	5558	66.5	21.8	40.6	0	21.8	-9.3	1	1	3.85	8.08	7.93	0.49	5508	69.2	21.7	40.6	0	22.6	-9.3	1	0	24.6	0	0	731527
 95.3992731	2024	10.9	0.59	0.072	653	40.1	160	22.4	-9.2	0.31	0.60	0.067	5558	66.4	21.8	40.6	0	21.8	-9.3	1	1	3.89	8.08	7.92	0.50	5513	69.5	22.0	40.6	0	22.6	-9.3	1	0	24.6	0	0	731727
 95.3992847	2024	11.9	0.58	0.085	653	40.1	160	22.4	-9.2	0.30	0.58	0.085	5563	66.4	21.8	40.6	0	21.8	-9.3	1	1	4.06	8.26	7.93	0.53	5524	69.6	21.8	40.6	0	22.6	-9.3	1	0	24.6	0	0	731926
 95.3992963	2024	12.9	0.57	0.088	654	40.1	160	22.4	-9.2	0.30	0.57	0.091	5567	66.4	21.8	40.6	0	21.8	-9.3	1	1	4.12	8.27	7.92	0.53	5531	69.7	21.7	40.5	0	22.6	-9.3	1	0	24.6	0	0	732126
 95.3993079	2024	13.9	0.57	0.095	655	40.1	160	22.4	-9.2	0.29	0.52	0.096	5578	66.4	21.8	40.5	0	21.8	-9.3	1	1	4.25	8.39	7.93	0.54	5542	69.7	21.7	40.5	0	22.6	-9.3	1	0	24.6	0	0	732327
 95.3993194	2024	14.9	0.57	0.094	656	40.2	0	22.4	-9.2	0.28	0.52	0.091	5589	66.4	21.8	40.5	0	21.8	-9.3	1	1	4.30	8.47	7.92	0.53	5551	69.8	21.7	40.5	0	22.6	-9.3	1	0	24.6	0	0	732526
 95.3993310	2024	15.9	0.57	0.096	657	40.2	0	22.4	-9.2	0.27	0.48	0.081	5605	66.3	21.8	40.5	0	21.8	-9.3	1	1	4.42	8.53	7.93	0.54	5560	69.6	21.7	40.5	0	22.6	-9.3	1	0	24.6	0	0	732727
 95.3993426	2024	16.9	0.57	0.093	657	40.3	0	22.4	-9.2	0.28	0.50	0.063	5617	66.2	21.8	40.5	0	21.8	-9.3	1	1	4.47	8.56	7.93	0.53	5567	69.3	21.7	40.5	0	22.6	-9.3	1	0	24.6	0	0	732927
 95.3993542	2024	17.9	0.57	0.090	658	40.3	0	22.4	-9.2	0.28	0.50	0.050	5632	66.1	21.8	40.5	0	21.8	-9.3	1	1	4.57	8.66	7.94	0.54	5574	69.1	21.7	40.5	0	22.6	-9.3	1	0	24.7	0	0	733126
 95.3993657	2024	18.9	0.57	0.084	659	40.4	0	22.4	-9.2	0.28	0.52	0.033	5643	66.0	21.8	40.5	0	21.8	-9.3	1	1	4.60	8.64	7.93	0.53	5580	69.3	22.0	40.5	0	22.6	-9.3	1	0	24.7	0	0	733326
 95.3993773	2024	19.9	0.57	0.079	659	40.4	0	22.4	-9.2	0.30	0.57	0.022	5650	65.9	21.8	40.5	0	21.8	-9.3	1	1	4.68	8.73	7.94	0.53	5585	69.1	21.8	40.4	0	22.6	-9.3	1	0	24.7	0	0	733526
 95.3993889	2024	20.9	0.58	0.074	660	40.5	0	22.4	-9.2	0.31	0.59	0.013	5657	65.9	21.8	40.4	0	21.8	-9.3	1	1	4.70	8.69	7.93	0.52	5590	69.1	21.7	40.4	0	22.6	-9.3	1	0	24.7	0	0	733727
 95.3994005	2024	21.9	0.58	0.072	660	40.5	0	22.4	-9.2	0.33	0.64	0.022	5657	65.9	21.8	40.4	0	21.8	-9.3	1	1	4.79	8.75	7.94	0.52	5594	69.0	21.7	40.4	0	22.6	-9.3	1	0	24.7	0	0	733926
 95.3994120	2024	22.9	0.58	0.068	661	40.6	0	22.4	-9.2	0.33	0.65	0.028	5659	65.9	21.8	40.4	0	21.8	-9.3	1	1	4.83	8.75	7.94	0.51	5598	68.9	21.7	40.4	0	22.6	-9.3	1	0	24.7	0	0	734126
 95.3994236	2024	23.9	0.58	0.066	661	40.6	0	22.4	-9.2	0.34	0.68	0.043	5655	65.9	21.8	40.4	0	21.8	-9.3	1	1	4.92	8.87	7.95	0.51	5601	68.5	21.7	40.4	0	22.6	-9.3	1	0	24.7	0	0	734326
 95.3994352	2024	24.9	0.59	0.062	662	40.6	0	22.4	-9.2	0.34	0.67	0.051	5655	65.8	21.8	40.4	0	21.8	-9.3	1	1	4.94	8.86	7.94	0.51	5603	68.3	21.9	40.4	0	22.6	-9.3	1	0	24.7	0	0	734526
 95.3994468	2024	25.9	0.59	0.060	662	40.6	0	22.4	-9.2	0.35	0.68	0.060	5652	65.8	21.8	40.4	0	21.8	-9.3	1	1	4.98	8.86	7.95	0.50	5603	67.9	21.8	40.3	0	22.6	-9.3	1	0	24.7	0	0	734727
 95.3994583	2024	26.9	0.59	0.058	662	40.6	0	22.4	-9.2	0.35	0.67	0.065	5650	65.7	21.8	40.3	0	21.8	-9.3	1	1	5.01	8.87	7.95	0.50	5603	67.5	21.7	40.3	0	22.6	-9.3	1	0	24.7	0	0	734926
 95.3994699	2024	27.9	0.59	0.059	662	40.6	0	22.4	-9.2	0.35	0.66	0.073	5650	65.5	21.8	40.3	0	21.8	-9.3	1	1	5.08	8.91	7.95	0.50	5605	67.1	21.7	40.3	0	22.6	-9.3	1	0	24.7	0	0	735126
 95.3994815	2024	28.9	0.59	0.059	662	40.6	0	22.4	-9.2	0.35	0.65	0.075	5648	65.4	21.8	40.3	0	21.8	-9.3	1	1	5.10	8.90	7.95	0.50	5605	66.6	21.7	40.3	0	22.6	-9.3	1	0	24.8	0	0	735326
 95.3994931	2024	29.9	0.59	0.062	662	40.6	0	22.4	-9.2	0.34	0.63	0.081	5650	65.3	21.8	40.3	0	21.8	-9.3	1	1	5.18	8.95	7.95	0.51	5608	66.1	21.7	40.3	0	22.6	-9.3	1	0	24.8	0	0	735527
 95.3995046	2024	30.9	0.59	0.061	662	40.6	0	22.4	-9.2	0.34	0.63	0.079	5652	65.2	21.8	40.3	0	21.8	-9.3	1	1	5.19	8.96	7.95	0.51	5610	65.7	21.7	40.2	0	22.6	-9.3	1	0	24.8	0	0	735727
 95.3995162	2024	31.9	0.59	0.061	662	40.6	0	22.4	-9.2	0.34	0.61	0.076	5655	65.2	21.8	40.3	0	21.8	-9.3	1	1	5.24	8.95	7.94	0.51	5610	65.2	21.8	40.2	0	22.6	-9.3	1	0	24.8	0	0	735927
 95.3995278	2024	32.9	0.59	0.060	662	40.6	0	22.4	-9.2	0.34	0.62	0.069	5659	65.2	21.8	40.2	0	21.8	-9.3	1	1	5.26	8.94	7.95	0.50	5612	65.3	22.0	40.2	0	22.6	-9.3	1	0	24.8	0	0	736127
 95.3995394	2024	33.9	0.59	0.061	662	40.6	0	22.4	-9.2	0.34	0.60	0.065	5664	65.2	21.8	40.2	0	21.8	-9.3	1	1	5.31	8.97	7.95	0.51	5614	65.0	21.7	40.2	0	22.6	-9.3	1	0	24.8	0	0	736327
 95.3995509	2024	34.9	0.59	0.061	663	40.5	0	22.4	-9.2	0.34	0.61	0.059	5668	65.2	21.8	40.2	0	21.8	-9.3	1	1	5.33	8.98	7.94	0.51	5616	64.6	21.7	40.2	0	22.6	-9.3	1	0	24.8	0	0	736527
 95.3995625	2024	35.9	0.59	0.062	663	40.5	0	22.4	-9.2	0.34	0.62	0.058	5670	65.2	21.8	40.2	0	21.8	-9.3	1	1	5.40	8.99	7.95	0.51	5617	64.5	21.7	40.2	0	22.6	-9.3	1	0	24.8	0	0	736727
 95.3995741	2024	36.9	0.59	0.061	663	40.5	0	22.4	-9.2	0.35	0.62	0.053	5673	65.1	21.8	40.2	0	21.8	-9.3	1	1	5.41	9.00	7.95	0.51	5619	64.1	21.7	40.2	0	22.6	-9.3	1	0	24.8	0	0	736926
 95.3995856	2024	37.9	0.59	0.061	663	40.5	0	22.4	-9.2	0.35	0.63	0.051	5675	65.0	21.8	40.1	160	21.8	-9.3	1	1	5.46	9.01	7.95	0.51	5619	63.7	21.7	40.1	160	22.6	-9.3	1	0	24.8	0	0	737127
 95.3995972	2024	38.9	0.59	0.060	663	40.5	0	22.4	-9.2	0.36	0.64	0.048	5677	64.9	21.8	40.1	160	21.8	-9.3	1	1	5.48	9.00	7.94	0.51	5621	63.7	22.0	40.1	160	22.6	-9.3	1	0	24.9	0	0	737326
