#Sample Average Data
#--------------------------------------------------------
#BMI DASH SN:   0
#BMI SEMS SN: 0
#--------------------------------------------------------
#StartTimeSt	EndTimeSt	StartYr	EndYr	StartSecs	EndSecs	Samp_Num	DO_Tot_Cnts	HO_Tot_Cnts	DO_Mode_Val	HO_Mode_Val	UpSt_Dia	UpSt_Sh_Targ	RH_Targ	HO_Rh_Av	HO_Rh_Sdev	HM_RH_Av	HM_Rh_Sdev	DO_Sh_Targ	DO_Sh_Av	DO_Sh_Sdev	DO_Samp_Targ	DO_Samp_Av	DO_Samp_Sdev	HO_Sh_Targ	HO_Sh_Av	HO_Sh_Sdev	HO_Samp_Targ	HO_Samp_Av	HO_Samp_Sdev	HM_Sh_Targ	HM_Sh_Av	HM_Sh_Sdev	HM_Xs_Targ	HM_Xs_Av	HM_Xs_Sdev	Samp_Xs_Targ	Samp_Xs_Av	Samp_Xs_Sdev
 95.3901042	 95.3903299	2024	2024	21.6	41.2	0	9	6	0.00	0.00	200.00	5.00	65.00	59.65	0.53	65.30	0.26	0.60	0.61	0.01	0.06	0.06	0.00	0.60	0.65	0.01	0.06	0.06	0.00	8.00	8.05	0.02	7.90	7.93	0.00	0.50	0.50	0.00
 95.3905671	 95.3907928	2024	2024	61.6	81.2	1	10	3	0.00	0.00	200.00	5.00	67.00	57.15	0.30	65.10	0.26	0.60	0.61	0.00	0.06	0.06	0.00	0.60	0.61	0.01	0.06	0.06	0.00	8.00	8.02	0.02	7.90	7.94	0.01	0.50	0.50	0.00
 95.3910301	 95.3912627	2024	2024	101.7	121.7	2	5	3	0.00	0.00	200.00	5.00	69.00	56.21	0.06	65.57	0.55	0.60	0.60	0.01	0.06	0.06	0.00	0.60	0.58	0.01	0.06	0.06	0.00	8.00	7.92	0.03	7.90	7.92	0.00	0.50	0.50	0.00
 95.3914942	 95.3917257	2024	2024	141.7	161.7	3	7	7	0.00	0.00	200.00	5.00	71.00	57.79	0.28	67.65	0.63	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.56	0.01	0.06	0.06	0.00	8.00	7.92	0.02	7.90	7.93	0.00	0.50	0.50	0.00
 95.3919572	 95.3921829	2024	2024	181.7	201.2	4	9	4	0.00	0.00	200.00	5.00	73.00	61.25	0.69	69.69	0.49	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.55	0.00	0.06	0.06	0.00	8.00	7.93	0.01	7.90	7.93	0.01	0.50	0.50	0.00
 95.3924201	 95.3926458	2024	2024	221.7	241.2	5	5	6	0.00	0.00	200.00	5.00	75.00	66.18	0.77	71.60	0.74	0.60	0.60	0.00	0.06	0.06	0.00	0.60	0.54	0.02	0.06	0.06	0.01	8.00	7.93	0.02	7.90	7.93	0.01	0.50	0.50	0.00
 95.3928831	 95.3931088	2024	2024	261.7	281.2	6	7	9	0.00	0.00	200.00	5.00	77.00	71.61	0.83	73.55	0.50	0.60	0.60	0.01	0.06	0.06	0.01	0.60	0.54	0.01	0.06	0.06	0.01	8.00	7.92	0.02	7.90	7.93	0.01	0.50	0.50	0.00
 95.3933461	 95.3935775	2024	2024	301.7	321.7	7	4	10	0.00	0.00	200.00	5.00	79.00	76.44	0.72	75.42	0.61	0.60	0.61	0.01	0.06	0.06	0.00	0.60	0.55	0.01	0.06	0.06	0.00	8.00	7.93	0.02	7.90	7.93	0.01	0.50	0.50	0.00
 95.3938090	 95.3940347	2024	2024	341.7	361.2	8	4	8	0.00	0.00	200.00	5.00	81.00	80.28	0.43	77.23	0.52	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.56	0.01	0.06	0.06	0.00	8.00	7.94	0.02	7.90	7.93	0.01	0.50	0.50	0.00
 95.3942720	 95.3944977	2024	2024	381.7	401.3	9	4	4	0.00	0.00	200.00	5.00	83.00	82.83	0.44	79.10	0.64	0.60	0.61	0.00	0.06	0.06	0.00	0.60	0.57	0.01	0.06	0.06	0.00	8.00	7.95	0.02	7.90	7.93	0.01	0.50	0.50	0.00
 95.3947350	 95.3949606	2024	2024	421.7	441.3	10	5	4	0.00	0.00	200.00	5.00	85.00	85.17	0.41	81.49	0.82	0.60	0.60	0.01	0.06	0.06	0.01	0.60	0.58	0.01	0.06	0.06	0.01	8.00	7.96	0.02	7.90	7.92	0.00	0.50	0.50	0.00
 95.3951979	 95.3954236	2024	2024	461.8	481.3	11	14	5	0.00	0.00	200.00	5.00	83.00	87.78	0.21	82.46	0.77	0.60	0.60	0.01	0.06	0.06	0.00	0.60	0.59	0.01	0.06	0.06	0.00	8.00	7.98	0.02	7.90	7.93	0.00	0.50	0.50	0.00
 95.3956609	 95.3958866	2024	2024	501.8	521.3	12	6	7	0.00	0.00	200.00	5.00	81.00	88.48	0.05	82.67	0.68	0.60	0.60	0.01	0.06	0.06	0.01	0.60	0.60	0.00	0.06	0.06	0.00	8.00	8.00	0.01	7.90	7.93	0.00	0.50	0.50	0.00
 95.3961238	 95.3963553	2024	2024	541.8	561.8	13	11	3	0.00	0.00	200.00	5.00	79.00	88.27	0.04	82.10	0.64	0.60	0.60	0.01	0.06	0.06	0.01	0.60	0.62	0.01	0.06	0.06	0.00	8.00	8.06	0.02	7.90	7.93	0.00	0.50	0.50	0.00
 95.3965868	 95.3968183	2024	2024	581.8	601.8	14	12	3	0.00	0.00	200.00	5.00	77.00	87.08	0.23	79.75	0.68	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.64	0.01	0.06	0.06	0.00	8.00	8.04	0.02	7.90	7.93	0.00	0.50	0.49	0.00
 95.3970509	 95.3972824	2024	2024	621.8	641.8	15	8	6	0.00	0.00	200.00	5.00	75.00	84.31	0.57	77.99	0.65	0.60	0.60	0.00	0.06	0.06	0.00	0.60	0.64	0.01	0.06	0.06	0.01	8.00	8.05	0.02	7.90	7.93	0.00	0.50	0.50	0.00
 95.3975139	 95.3977396	2024	2024	661.8	681.3	16	5	5	0.00	0.00	200.00	5.00	73.00	79.92	0.66	76.49	0.39	0.60	0.60	0.01	0.06	0.06	0.01	0.60	0.65	0.00	0.06	0.06	0.00	8.00	8.05	0.01	7.90	7.93	0.00	0.50	0.49	0.00
 95.3979769	 95.3982025	2024	2024	701.8	721.3	17	6	2	0.00	0.00	200.00	5.00	71.00	75.42	0.72	74.45	0.73	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.65	0.01	0.06	0.06	0.00	8.00	8.06	0.02	7.90	7.93	0.00	0.50	0.49	0.00
 95.3984398	 95.3986655	2024	2024	741.8	761.3	18	3	5	0.00	0.00	200.00	5.00	69.00	71.20	0.58	72.56	0.49	0.60	0.60	0.00	0.06	0.06	0.00	0.60	0.64	0.01	0.06	0.06	0.00	8.00	8.05	0.02	7.90	7.93	0.00	0.50	0.49	0.00
 95.3989028	 95.3991285	2024	2024	781.8	801.3	19	12	2	0.00	0.00	200.00	5.00	67.00	67.98	0.42	70.78	0.36	0.60	0.60	0.00	0.06	0.06	0.01	0.60	0.64	0.00	0.06	0.06	0.00	8.00	8.07	0.02	7.90	7.93	0.00	0.50	0.49	0.00
