#OPC SN:210
#------------
#firmware:4.0
#mfg_date:17/7/14
#
#flow setpoints
#--------------
#sample_sp:0.06
#sheath_sp:0.60
#
#calibration
#-----------
#sample_c2:-24537.10
#sample_c1:2003.20
#sample_c0:-2509.40
#sheath_c2:-7738.00
#sheath_c1:1504.10
#sheath_c0:-220.40
#cal_temp:26.2
#press_slop:3805.4
#press_offs:-114.2
#pmt_base_cal:2300
#
#digital pots
#------------
#pmt_gain_pot:52
#lsr_brt_pot:86
#lsr_gain_pot:110
#pmt_base_pot:80
#
#pulse calib
#-----------
#cal_hg1:150,351
#cal_hg2:155,428
#cal_hg3:160,522
#cal_hg4:170,807
#cal_hg5:180,1111
#cal_hg6:190,1456
#cal_hg7:200,1841
#cal_hg8:220,2730
#cal_hg9:240,3397
#cal_hg10:260,4051
#cal_hg11:280,4477
#cal_hg12:300,4814
#cal_hg13:325,5418
#cal_hg14:350,6409
#cal_hg15:375,7305
#cal_hg16:400,8352
#cal_hg17:450,11062
#cal_hg18:500,15820
#cal_hg19:510,16383
#cal_hg20:510,16383
#xover_bin:51
#cal_lg1:375,936
#cal_lg2:450,1060
#cal_lg3:500,2319
#cal_lg4:700,3154
#cal_lg5:950,4002
#cal_lg6:1250,5080
#cal_lg7:1600,6536
#cal_lg8:2000,7648
#cal_lg9:3200,11000
#cal_lg10:3200,11000
#
#bin_limits=	155.0	158.1	161.2	164.5	167.7	171.1	174.5	178.0	181.5	185.2	188.8	192.6	196.5	200.4	204.4	208.4	212.6	216.8	221.2	225.6	230.1	234.7	239.4	244.1	249.0	254.0	259.0	264.2	269.5	274.8	280.3	285.9	291.6	297.4	303.4	309.4	315.6	321.9	328.3	334.9	341.5	348.4	355.3	362.4	369.6	377.0	384.5	392.2	400.0	408.8	420.7	437.7	461.3	492.6	532.4	580.7	637.5	702.3	773.7	852.3	939.0	1034.4	1139.5	1255.3	1382.9	1523.5	1678.3	1848.9	2036.9	2243.9	2472.0	2723.2	3000.0
#
#YY/MM/DD	HR:MN:SC	samp_intrvl	total_conc	sample_flw	sheath_flw	sheath_temp	samp_press	lasr_brt	lasr_cur	pmt_base_rd	pmt_base_pot_adj	sheath_pwr	exit_pwr	opc_errs	bin1	bin2	bin3	bin4	bin5	bin6	bin7	bin8	bin9	bin10	bin11	bin12	bin13	bin14	bin15	bin16	bin17	bin18	bin19	bin20	bin21	bin22	bin23	bin24	bin25	bin26	bin27	bin28	bin29	bin30	bin31	bin32	bin33	bin34	bin35	bin36	bin37	bin38	bin39	bin40	bin41	bin42	bin43	bin44	bin45	bin46	bin47	bin48	bin49	bin50	bin51	bin52	bin53	bin54	bin55	bin56	bin57	bin58	bin59	bin60	bin61	bin62	bin63	bin64	bin65	bin66	bin67	bin68	bin69	bin70	bin71	bin72
24/04/04	08:33:47	1	0.0	0.004	0.03	16.1	1021	2311	2779	386	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:48	1	0.0	0.006	0.05	16.1	1021	2311	2782	578	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:49	1	0.0	0.008	0.06	16.0	1020	2311	2788	960	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:50	1	0.0	0.008	0.06	16.0	1020	2311	2791	1342	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:51	1	0.0	0.008	0.06	16.0	1020	2311	2793	1723	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:52	1	0.0	0.008	0.06	16.0	1020	2311	2795	2104	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:53	1	0.0	0.008	0.06	16.0	1019	2311	2797	2292	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:54	1	0.0	0.008	0.06	16.0	1020	2311	2798	2288	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:55	1	0.0	0.008	0.06	16.1	1020	2312	2801	2288	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24/04/04	08:33:56	1	0.0	0.008	0.06	16.1	1020	2312	2802	2288	80	180	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
