#SEMS Data
#--------------------------------------------------------
#BMI DASH SN:   0
#BMI SEMS SN:   0
#--------------------------------------------------------
#DOY.Frac	YYYY	Secs	UpSt_Sh	UpSt_Xs	UpSt_Samp	UpSt_FAdj	UpSt_Rh	UpSt_T	UpSt_Press	UpSt_Dia	UpSt_HV
 95.3991574	2024	0.9	5.02	5.00	0.82	1.00	29.40	21.20	987.00	200.00	653
 95.3991690	2024	1.9	5.00	4.98	0.83	1.00	29.40	21.20	987.00	200.00	653
 95.3991806	2024	2.9	5.01	5.00	0.84	1.00	29.40	21.20	987.00	200.00	653
 95.3991921	2024	3.9	5.00	5.00	0.84	1.00	29.40	21.20	987.00	200.00	653
 95.3992037	2024	4.9	5.00	5.00	0.84	1.00	29.40	21.20	987.00	200.00	653
 95.3992153	2024	5.9	5.00	4.99	0.84	1.00	29.40	21.20	987.00	200.00	653
 95.3992269	2024	6.9	4.99	4.99	0.84	1.00	29.40	21.20	987.00	200.00	653
 95.3992384	2024	7.9	4.98	4.99	0.83	1.00	29.40	21.20	987.00	200.00	653
 95.3992500	2024	8.9	4.98	5.00	0.83	1.00	29.40	21.20	987.00	200.00	653
 95.3992616	2024	9.9	4.99	4.99	0.83	1.00	29.40	21.20	987.00	200.00	653
 95.3992731	2024	10.9	5.01	4.99	0.82	1.00	29.40	21.20	987.00	200.00	653
 95.3992847	2024	11.9	5.01	5.00	0.81	1.00	29.40	21.20	987.00	200.00	653
 95.3992963	2024	12.9	5.00	4.98	0.76	1.00	29.40	21.20	988.00	200.00	653
 95.3993079	2024	13.9	5.01	4.98	0.72	1.00	29.40	21.20	988.00	200.00	654
 95.3993194	2024	14.9	5.00	4.99	0.65	1.00	29.50	21.20	989.00	200.00	654
 95.3993310	2024	15.9	4.99	4.99	0.59	1.00	29.50	21.20	990.00	200.00	654
 95.3993426	2024	16.9	5.00	5.00	0.51	1.00	29.50	21.20	991.00	200.00	654
 95.3993542	2024	17.9	4.99	4.99	0.45	1.00	29.50	21.20	991.00	200.00	654
 95.3993657	2024	18.9	5.02	5.02	0.37	1.00	29.50	21.20	992.00	200.00	655
 95.3993773	2024	19.9	5.02	5.01	0.31	1.00	29.50	21.20	993.00	200.00	655
 95.3993889	2024	20.9	5.02	5.01	0.26	1.00	29.50	21.20	993.00	200.00	655
 95.3994005	2024	21.9	5.01	5.00	0.23	1.00	29.50	21.20	993.00	200.00	655
 95.3994120	2024	22.9	5.02	5.01	0.19	1.00	29.40	21.20	993.00	200.00	655
 95.3994236	2024	23.9	5.00	5.01	0.17	1.00	29.40	21.20	994.00	200.00	655
 95.3994352	2024	24.9	5.01	5.02	0.15	1.00	29.50	21.20	994.00	200.00	655
 95.3994468	2024	25.9	5.00	5.00	0.13	1.00	29.60	21.20	994.00	200.00	655
 95.3994583	2024	26.9	5.01	5.01	0.13	1.00	29.70	21.20	994.00	200.00	655
 95.3994699	2024	27.9	4.97	5.02	0.12	1.00	29.90	21.20	994.00	200.00	655
 95.3994815	2024	28.9	4.98	5.00	0.12	1.00	30.00	21.20	994.00	200.00	655
 95.3994931	2024	29.9	5.00	4.99	0.10	1.00	30.10	21.20	994.00	200.00	655
 95.3995046	2024	30.9	5.00	4.99	0.08	1.00	30.30	21.20	994.00	200.00	655
 95.3995162	2024	31.9	5.02	4.99	0.06	1.00	30.30	21.20	994.00	200.00	655
 95.3995278	2024	32.9	5.00	5.01	0.06	1.00	30.40	21.20	994.00	200.00	655
 95.3995394	2024	33.9	4.98	5.00	0.06	1.00	30.50	21.20	994.00	200.00	656
 95.3995509	2024	34.9	5.01	5.01	0.05	1.00	30.60	21.20	994.00	200.00	656
 95.3995625	2024	35.9	5.00	5.00	0.04	1.00	30.70	21.20	994.00	200.00	656
 95.3995741	2024	36.9	4.99	5.00	0.02	1.00	30.70	21.20	994.00	200.00	656
 95.3995856	2024	37.9	4.99	4.99	0.01	1.00	30.80	21.20	994.00	200.00	656
 95.3995972	2024	38.9	5.00	5.00	0.00	1.00	30.90	21.20	994.00	200.00	656
 95.3996088	2024	39.9	5.00	4.99	-0.01	1.00	30.90	21.20	995.00	200.00	656
 95.3996204	2024	40.9	4.99	4.99	-0.02	1.00	31.00	21.20	994.00	200.00	656
 95.3996319	2024	41.9	5.00	5.00	-0.03	1.00	31.00	21.20	995.00	200.00	656
 95.3996435	2024	42.9	5.00	4.99	-0.04	1.00	31.00	21.20	995.00	200.00	656
 95.3996551	2024	43.9	4.98	5.00	-0.05	1.00	31.10	21.20	995.00	200.00	656
 95.3996667	2024	44.9	5.00	5.00	-0.06	1.00	31.10	21.20	995.00	200.00	656
 95.3996782	2024	45.9	5.00	5.01	-0.05	1.00	31.10	21.20	995.00	200.00	656
 95.3996898	2024	46.9	5.01	5.00	-0.07	1.00	31.10	21.20	995.00	200.00	656
 95.3997014	2024	47.9	5.00	5.00	-0.07	1.00	31.10	21.20	995.00	200.00	656
 95.3997130	2024	48.9	5.00	4.99	-0.08	1.00	31.10	21.20	995.00	200.00	656
 95.3997245	2024	49.9	5.02	5.00	-0.08	1.00	31.20	21.20	995.00	200.00	656
 95.3997361	2024	50.9	4.98	5.01	-0.08	1.00	31.20	21.20	995.00	200.00	656
 95.3997477	2024	51.9	4.98	5.00	-0.08	1.00	31.20	21.20	995.00	200.00	656
 95.3997593	2024	52.9	5.01	5.01	-0.10	1.00	31.20	21.20	995.00	200.00	656
 95.3997708	2024	53.9	5.02	5.00	-0.11	1.00	31.20	21.20	995.00	200.00	656
 95.3997824	2024	54.9	4.99	5.00	-0.11	1.00	31.20	21.20	995.00	200.00	656
 95.3997940	2024	55.9	4.97	5.00	-0.11	1.00	31.20	21.20	995.00	200.00	656
 95.3998056	2024	56.9	4.99	5.02	-0.12	1.00	31.20	21.20	995.00	200.00	656
 95.3998171	2024	57.9	5.00	5.00	-0.13	1.00	31.30	21.20	995.00	200.00	656
 95.3998287	2024	58.9	5.00	5.01	-0.13	1.00	31.30	21.20	995.00	200.00	656
 95.3998403	2024	59.9	5.00	5.00	-0.13	1.00	31.30	21.20	995.00	200.00	656
 95.3998519	2024	60.9	5.00	5.01	-0.14	1.00	31.30	21.20	995.00	200.00	656
 95.3998634	2024	61.9	4.99	5.00	-0.15	1.00	31.30	21.20	995.00	200.00	656
 95.3998750	2024	62.9	5.02	5.01	-0.16	1.00	31.30	21.20	995.00	200.00	656
 95.3998866	2024	63.9	4.99	5.00	-0.16	1.00	31.30	21.20	995.00	200.00	656
 95.3998981	2024	64.9	5.01	4.99	-0.15	1.00	31.30	21.20	995.00	200.00	656
 95.3999097	2024	65.9	4.99	5.01	-0.14	1.00	31.20	21.20	995.00	200.00	656
 95.3999213	2024	66.9	5.00	4.99	-0.13	1.00	31.20	21.20	995.00	200.00	656
 95.3999329	2024	67.9	4.99	5.00	-0.13	1.00	31.20	21.20	995.00	200.00	656
 95.3999444	2024	68.9	5.00	5.00	-0.13	1.00	31.20	21.20	995.00	200.00	656
 95.3999560	2024	69.9	5.00	5.00	-0.12	1.00	31.20	21.20	995.00	200.00	656
 95.3999676	2024	70.9	5.02	5.01	-0.10	1.00	31.10	21.20	995.00	200.00	656
 95.3999792	2024	71.9	5.03	5.00	-0.10	1.00	31.10	21.20	995.00	200.00	656
 95.3999907	2024	72.9	4.99	5.00	-0.08	1.00	31.00	21.20	995.00	200.00	656
 95.4000023	2024	73.9	5.01	5.00	-0.07	1.00	31.00	21.20	995.00	200.00	656
 95.4000139	2024	74.9	5.00	5.00	-0.06	1.00	31.00	21.20	994.00	200.00	656
 95.4000255	2024	75.9	4.99	5.01	-0.05	1.00	30.90	21.20	995.00	200.00	656
 95.4000370	2024	76.9	5.00	5.00	-0.05	1.00	30.90	21.20	994.00	200.00	656
 95.4000486	2024	77.9	5.03	5.00	-0.04	1.00	30.80	21.20	994.00	200.00	656
 95.4000602	2024	78.9	4.99	4.99	-0.04	1.00	30.80	21.20	994.00	200.00	656
 95.4000718	2024	79.9	5.00	4.99	-0.02	1.00	30.80	21.20	994.00	200.00	656
 95.4000833	2024	80.9	4.97	5.00	-0.01	1.00	30.70	21.20	994.00	200.00	656
 95.4000949	2024	81.9	4.97	5.00	0.01	1.00	30.70	21.20	994.00	200.00	656
 95.4001065	2024	82.9	5.00	4.99	0.02	1.00	30.60	21.20	994.00	200.00	656
 95.4001181	2024	83.9	5.00	4.99	0.02	1.00	30.60	21.20	994.00	200.00	656
 95.4001296	2024	84.9	5.01	5.00	0.03	1.00	30.60	21.30	994.00	200.00	656
 95.4001412	2024	85.9	5.01	5.00	0.03	1.00	30.50	21.30	994.00	200.00	656
 95.4001528	2024	86.9	5.00	5.00	0.04	1.00	30.50	21.30	994.00	200.00	656
 95.4001644	2024	87.9	4.99	5.00	0.05	1.00	30.50	21.30	994.00	200.00	656
 95.4001759	2024	88.9	5.01	5.00	0.06	1.00	30.40	21.20	994.00	200.00	656
 95.4001875	2024	89.9	4.99	4.99	0.08	1.00	30.40	21.30	994.00	200.00	656
 95.4001991	2024	90.9	4.99	5.01	0.10	1.00	30.30	21.20	994.00	200.00	656
 95.4002106	2024	91.9	4.99	5.00	0.11	1.00	30.30	21.20	994.00	200.00	656
 95.4002222	2024	92.9	5.00	5.00	0.12	1.00	30.20	21.20	994.00	200.00	656
 95.4002338	2024	93.9	5.00	5.00	0.13	1.00	30.20	21.20	994.00	200.00	655
 95.4002454	2024	94.9	5.00	5.00	0.14	1.00	30.20	21.20	994.00	200.00	655
 95.4002569	2024	95.9	5.00	5.00	0.14	1.00	30.10	21.30	994.00	200.00	655
 95.4002685	2024	96.9	5.00	5.00	0.15	1.00	30.10	21.30	994.00	200.00	655
